"তোমার কাছে","near to you"
"নিয়াজ ভকা","niaz bokaaaaa"
"কীরে কি খবর বাবা","kire ki khobor baba"
"The translation of the Banglish text "kire bhai ki obostha kmn ashco" into proper Bangla is:

কিরে ভাই কি অবস্থা কেমন আছে? 

However, a more natural and common way to express this in Bangla would be:

কেমন আছেন, ভাই? 

Or, 

ভাই, কি অবস্থা? কেমন আছেন?","kire bhai ki obostha kmn ashco"
"কেমন আছো","kmn acho"
"সুন্দরবন অনেক সুন্দর জায়গা।","shundorban onek shundor jayga"
"সেদিন দেখা হয়েছিল।","shedin dekha hoye chilo"
"নিয়াজ একটা মোটা ছেলে।","near sector Gutka Chale"
"গুরু নানক সুন্দর","Guru Nanak Sundar"
"কেমন আছো প্রিয়?","Kemon acho prio?"
"আমার ভালো লাগে না","Amar Bhalo Lage Na"
"আমার ভালো লাগে না","Amar Bhalo Lage Na"
"আজকে আমার মন ভালো নেই। আমার পরীক্ষায় সিলি মিস্টেকস হয়েছে। আমার ইন্টারনশিপ প্রস্তুতি ও ভালো না। 

Note: "Silly mistakes" has been translated to "সিলি মিস্টেকস" as it is a direct translation, but in a more formal or proper Bangla, it would be "হাস্যকর ভুল" or simply "ছোটোখাট","Ajk amar Mon bhalo nei. amar exam e silly mistakes hoise. Amar internship preparation o bhalo na."
"আজকে একটু দরুণ সন্ধ্যা। আমি এখন নুডলস খাবো। এরপর পড়তে বসবো।

Note: I've translated "darun shondha" to দরুণ সন্ধ্যা, but please note that "darun" is not a direct translation of "darun" in Banglish, which can mean "bad" or "terrible". In this context, it seems like you meant "romantic" or "beautiful", so I've translated it accordingly. If you meant something else, please let me know.","Ajk ektu darun shondha. ami ekhn noodles khabo. erpor porte boshbo"
"আজকে একটু দারুণ বিকেল, আম্মু আমার জন্য নুডল বানাচ্ছে।","Ajk ektu darun bikal, ammu amar jonno noodle banacche"
"আজকে আমি অনেক খেয়েছি। আমার ঘুম আসছে।","Ajk ami onk kheychi. amar ghum ashe"
"হাই","hi"
"হাই, কেমন আছো","hi kemon acho"
"পরীক্ষার চাপ","exam er pressure"
"পরীক্ষার চাপ","exam er pressure"
"হাই","hi"
"হাই","hi"
"আমাদের দেশের নাম বাংলাদেশ।","amader dessher nam bangladesh"
"আমাদের দেশের নাম বাংলাদেশ","amader desher nam bangladesh"
"আমাদের দেশের নাম বাংলাদেশ","amader desher nam bangladesh"
"আমাদের দেশের নাম বাংলাদেশ","amader desher nam bangladesh"
"আলো জলে আলো জলে তোমার কথা আমার মনে","alo jole alo jole tomar kothay amar mone"
"আলো জলে আলো জলে","alo jole alo jole"
"একটা গল্প বলি শোনো, তোমার আমার গল্প।","Ekta golpo boli shono, tomar amar golpop"
"তোমার ঘরে বাস করে কারা তা আমার জানা নেই।","tomar ghore bash kore kara omor jano na"
